Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Male,18-21,4,15,"Fiction, Adventure, Romance, Comics","Vengeance, Love (romance), Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, I like to browse books on my own, Other",A Tale of Two Cities (Charles Dickens)
Female,18-21,5,2,"Fiction, Mystery, Romance, Comics, Sci-Fi, Self Help","Rebellion, Love (romance), Coming of age","Recommendations from a friend, Personality Development","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, > 60 minutes",At home,"E-book, Applications","Online, places like Amazon","Online/Social Media, Friends",None
Male,21-24,3,0,Other,Other,School/College Assignments,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, thrice",At home,"E-book, Websites",Other,"Online/Social Media, Other",None
Female,18-21,4,0,"Biography, Fantasy",Other,"Personality Development, Enjoyment, Relaxation",Other,Plot focused,"Morning, Evening","Daily, <30 minutes",At home,Others,Other,Friends,Rich dad poor dad
Male,18-21,5,10,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi","Rebellion, Vengeance, Survival, Power and corruption","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Crime and Punishment by Dostoyevsky
Male,Above 25,3,0,Other,Other,Personality Development,In-depth lore that you can escape into outside the confines of a book,Character focused,Night,I don't prefer reading,At home,Print book,Book Stores,Online/Social Media,Baghdad gita
Female,18-21,4,4,"Fiction, Mystery, Fantasy, Sci-Fi","Survival, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Daily, <30 minutes",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends",The alchemist
Female,21-24,3,0,"Fiction, Mystery, Adventure, Romance, Sci-Fi",Other,Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Weekly, thrice",At home,"Print book, E-book","Online, places like Amazon","Friends, I like to browse books on my own",The Kite Runner
Female,18-21,4,1,"Fiction, Mystery, Biography, Fantasy, Romance, Sci-Fi","Rebellion, Survival, Coming of age, Power and corruption","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, thrice",At home,Print book,Book Orders/Book Fairs from school,"Online/Social Media, Friends",Agatha Christie's novel murder on the orient express
Female,18-21,5,6,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Comics, Self Help","Vengeance, Love (romance), Coming of age, Moral ambiguity","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,"Print book, Newspaper, Applications, Websites","Online, places like Amazon","Friends, I like to browse books on my own",Jane Eyre by Charlotte Bronte
Female,Below 18,3,2,"Mystery, Sci-Fi",Survival,Recommendations from a friend,"Interesting character arcs, Exciting action scenes",Plot focused,Night,"Daily, > 60 minutes",At home,"Print book, E-book, Magazines","Online, places like Amazon, Book Stores","Online/Social Media, Friends",the girl in the window
Female,18-21,3,1,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Vengeance, Love (romance), Survival, Coming of age, Suffering","School/College Assignments, Recommendations from a friend, Personality Development","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,Night,I don't prefer reading,"In a library, At home, Other","Print book, E-book, Magazines","Online, places like Amazon, Book Orders/Book Fairs from school","Online/Social Media, Friends",None
Male,18-21,4,5,"Fiction, Mystery, Romance, Sci-Fi, Self Help","Love (romance), Survival, Power and corruption, Moral ambiguity","Recommendations from a friend, Personality Development, Relaxation","Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Afternoon, Evening","Daily, <30 minutes",At home,Print book,Book Stores,Online/Social Media,the silent widow by sidney sheldon
Female,18-21,4,1,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi, Self Help","Rebellion, Vengeance, Love (romance)","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, <30 minutes",At home,"Print book, E-book","Online, places like Amazon","Online/Social Media, Friends",The Time Traveller's Wife
Female,18-21,3,2,"Fiction, Romance, Self Help",Love (romance),"Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Note to Self
Female,21-24,3,0,"Fiction, Mystery, Adventure, Fantasy","Rebellion, Vengeance, Love (romance), Survival, Suffering, Power and corruption, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Night,"Weekly, thrice","While commuting, At home","E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",Currently i am reading The Picture of Dorian Gray by Oscar Wilde so I'll say that
Female,18-21,5,0,"Fiction, Mystery, Sci-Fi","Survival, Coming of age, Power and corruption, Moral ambiguity","Personality Development, Relaxation",Well-written descriptive detail,Character focused,"Morning, Night","Weekly, once","In a library, At home","Print book, E-book","Online, places like Amazon","Online/Social Media, Friends",The secret
Male,Below 18,3,10,"Fiction, Mystery, Adventure, Comics","Rebellion, Power and corruption","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,"Evening, Night","Weekly, thrice",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Idk
Female,18-21,2,1,"Mystery, Comics",Power and corruption,Recommendations from a friend,Interesting character arcs,Character focused,Night,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon",Online/Social Media,None
Female,18-21,4,5,"Adventure, Sci-Fi",Survival,"Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs",Character focused,Night,"Daily, <30 minutes",At home,"Print book, E-book, Applications","Online, places like Amazon, Book Stores",I like to browse books on my own,THE ART OF WAR
Male,Above 25,5,13,"Fiction, Biography, Sci-Fi, Self Help","Survival, Coming of age, Moral ambiguity","Enjoyment, Relaxation",In-depth lore that you can escape into outside the confines of a book,Plot focused,Night,"Daily, <30 minutes",At home,Print book,"Online, places like Amazon",Other,The fountain head
Male,21-24,3,0,"Fantasy, Romance",Love (romance),"School/College Assignments, Recommendations from a friend, Personality Development","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, <30 minutes",At home,E-book,Other,"Online/Social Media, Friends",None
Female,18-21,5,12,"Fiction, Adventure, Sci-Fi","Moral ambiguity, Other","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Exciting action scenes",Plot focused,Evening,"Daily, <30 minutes","In a library, At home","Print book, E-book, Newspaper, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Atomic  Habits
Male,Below 18,3,2,Sci-Fi,"Vengeance, Survival","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs",Plot focused,"Morning, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends",Percy Jackson
Female,18-21,2,2,"Fiction, Biography","Survival, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment","Well-written descriptive detail, Interesting character arcs",Character focused,Night,"Daily, 30-60minutes",At home,"E-book, Websites",Other,"Online/Social Media, Friends",Atomic habits
Female,18-21,4,0,"Fiction, Fantasy, Romance, Comics","Love (romance), Survival, Suffering","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes",At home,E-book,"Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",Mischievous mrs Maxfield
Male,Below 18,2,2,"Fiction, Biography, Sci-Fi","Survival, Power and corruption",Recommendations from a friend,"Interesting character arcs, Exciting action scenes",Plot focused,Night,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon",Friends,Angels and demons
Female,18-21,4,2,"Biography, Fantasy",Moral ambiguity,"Personality Development, Relaxation",Well-written descriptive detail,Plot focused,Evening,"Weekly, thrice",At home,"Print book, Magazines, Newspaper","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",None
Female,21-24,3,6,"Mystery, Sci-Fi","Love (romance), Survival","Personality Development, Enjoyment","In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,Evening,"Weekly, thrice","While commuting, Other","E-book, Newspaper",Book Stores,Friends,Faith
Male,18-21,1,0,"Biography, Comics",Other,School/College Assignments,"Interesting character arcs, Other",Character focused,Night,I don't prefer reading,At home,Print book,Book Stores,Other,Diary of a Wimpy kid
Male,18-21,1,1,"Adventure, Fantasy",Survival,Enjoyment,Interesting character arcs,Character focused,Night,I don't prefer reading,At home,E-book,Other,Other,Harry potter
Male,Above 25,5,10,"Biography, Self Help","Love (romance), Survival, Suffering, Power and corruption","Personality Development, Relaxation","Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Night","Daily, <30 minutes","In a library, In a group","Print book, Applications, Websites","Online, places like Amazon, Book Stores","Ads on TV/Computer, I like to browse books on my own",Kite Runner
Male,Below 18,1,0,Mystery,Survival,Enjoyment,Interesting character arcs,Plot focused,Evening,I don't prefer reading,At home,Websites,Other,Friends,None
Female,18-21,4,3,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics",Love (romance),Relaxation,"Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Weekly, thrice","In a library, At home","Print book, E-book, Applications, Websites","Online, places like Amazon","Online/Social Media, I like to browse books on my own",None
Male,Below 18,3,5,"Fiction, Adventure, Biography, Fantasy, Romance, Sci-Fi","Rebellion, Vengeance, Love (romance), Suffering, Power and corruption, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, Exciting action scenes",Character focused,Evening,"Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",Friends,None
Male,Below 18,2,3,"Fiction, Mystery, Adventure, Fantasy, Comics","Vengeance, Survival, Power and corruption","School/College Assignments, Enjoyment","Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,Night,"Weekly, once",At home,"Print book, E-book, Magazines, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Wonder
Female,Above 25,4,20,"Fiction, Mystery, Adventure, Biography, Self Help","Power and corruption, Other","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Other",Character focused,"Afternoon, Night","Daily, > 60 minutes",At home,"E-book, Magazines, Newspaper, Others","Online, places like Amazon, Other","Friends, I like to browse books on my own, Other",None
Female,18-21,5,20,"Fiction, Mystery, Biography, Self Help, Other","Vengeance, Survival, Coming of age","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",I came upon a lighthouse
Male,18-21,4,5,"Fiction, Mystery, Adventure, Biography, Fantasy, Comics, Sci-Fi","Rebellion, Vengeance, Survival, Power and corruption","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Night","Daily, <30 minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores",I like to browse books on my own,Agatha christie
Male,18-21,4,1,"Fiction, Adventure","Vengeance, Power and corruption",Relaxation,"Interesting character arcs, Complicated or multi-step plot",Plot focused,Afternoon,"Weekly, once",At home,Print book,Book Stores,Friends,Inferno - Dan Brown
Female,18-21,5,4,"Fiction, Fantasy, Self Help","Coming of age, Power and corruption","Personality Development, Enjoyment, Relaxation",Witty or believable dialogue,Plot focused,Night,"Weekly, thrice",At home,"E-book, Newspaper, Applications, Websites","Online, places like Amazon",Online/Social Media,the intelligent investor
Male,18-21,3,0,Romance,Love (romance),"Enjoyment, Relaxation",Interesting character arcs,Character focused,Night,"Weekly, once","At home, In a group",Others,Book Stores,Friends,None
Male,18-21,4,0,"Fiction, Mystery, Adventure, Comics, Sci-Fi","Rebellion, Vengeance, Survival, Suffering, Power and corruption, Moral ambiguity, Other","School/College Assignments, Recommendations from a friend, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Evening, Night","Weekly, once","While commuting, At home","Print book, E-book, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",Ice Station
Male,18-21,5,3,"Sci-Fi, Self Help","Power and corruption, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon","Daily, 30-60minutes","In a library, At home",Print book,"Online, places like Amazon","Online/Social Media, I like to browse books on my own",None
Male,21-24,4,0,"Fiction, Mystery, Adventure, Biography, Sci-Fi",Other,Personality Development,In-depth lore that you can escape into outside the confines of a book,Character focused,Night,"Daily, <30 minutes",At home,"Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",Zero to one
Male,18-21,4,20,"Fiction, Mystery, Adventure","Rebellion, Love (romance), Survival","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","Friends, I like to browse books on my own",The meluha series
Male,Above 25,4,2,Self Help,Moral ambiguity,Personality Development,Exciting action scenes,Character focused,Night,"Weekly, once",Other,"Print book, E-book",Book Stores,Online/Social Media,7 habits of highly effective people
Female,Above 25,4,1,Mystery,Survival,Enjoyment,In-depth lore that you can escape into outside the confines of a book,Plot focused,Night,"Weekly, once",At home,Print book,Book Stores,Friends,"Jeffry Archer - short stories,Faluda"
Male,18-21,4,0,Comics,"Rebellion, Moral ambiguity","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Exciting action scenes",Character focused,Evening,"Weekly, once",At home,"Magazines, Websites","Online, places like Amazon","Online/Social Media, Friends",None
Male,18-21,2,2,"Fiction, Mystery, Adventure","Survival, Other",School/College Assignments,"Interesting character arcs, Complicated or multi-step plot",Plot focused,Afternoon,I don't prefer reading,At home,Print book,Book Orders/Book Fairs from school,Online/Social Media,None
Female,18-21,4,0,"Fiction, Mystery",Other,"Personality Development, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Night","Daily, <30 minutes","In a library, While commuting","Print book, E-book","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",The silent patient
Female,18-21,5,4,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi, Self Help","Love (romance), Power and corruption","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot",Plot focused,Night,"Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon","Friends, I like to browse books on my own",Tuesdays with Morrie
Female,18-21,3,0,"Fiction, Mystery, Romance, Comics",Love (romance),"Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs",Character focused,Evening,"Daily, <30 minutes","While commuting, At home",Websites,Book Stores,"Online/Social Media, Friends, Ads on TV/Computer",None
Female,18-21,5,20,"Fiction, Mystery, Adventure, Romance","Vengeance, Love (romance), Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once","In a library, While commuting",Print book,Book Stores,I like to browse books on my own,"Many ... the deception point, the summer with my sister, gone girl, the silent patient"
Female,Below 18,5,10,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Power and corruption","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",it ends with us
Female,18-21,3,1,"Mystery, Biography, Romance, Comics, Sci-Fi, Self Help","Love (romance), Coming of age, Power and corruption, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs",Plot focused,"Morning, Afternoon, Night","Daily, <30 minutes","In a library, At home","Print book, Magazines, Newspaper, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",The notebook
Female,18-21,4,2,Mystery,Coming of age,Relaxation,Witty or believable dialogue,Plot focused,Night,"Weekly, thrice",At home,Print book,Book Stores,I like to browse books on my own,Pride and Prejudice
Male,18-21,4,2,"Fiction, Mystery, Sci-Fi, Self Help, Other","Rebellion, Vengeance, Love (romance), Survival, Suffering, Moral ambiguity","Recommendations from a friend, Personality Development, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Weekly, thrice","In a library, At home","Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",The Alchemist by Paulo Coelho
Male,21-24,4,1,"Biography, Comics, Self Help, Other","Rebellion, Vengeance, Survival, Power and corruption","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, <30 minutes",At home,"Magazines, Newspaper, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",None
Female,18-21,5,0,"Fiction, Biography, Fantasy, Romance, Self Help","Love (romance), Survival, Coming of age, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs",Character focused,"Morning, Night","Daily, <30 minutes","In a library, While commuting, At home","E-book, Applications, Websites","Online, places like Amazon","Online/Social Media, I like to browse books on my own",Killing Commendator
Male,18-21,3,5,"Fiction, Mystery, Adventure","Survival, Power and corruption, Moral ambiguity","Recommendations from a friend, Personality Development","Witty or believable dialogue, Interesting character arcs",Character focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",20000 leagues under the sea
Female,18-21,3,1,"Fiction, Adventure, Romance, Sci-Fi","Love (romance), Survival, Coming of age, Suffering",Recommendations from a friend,"Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, once",At home,"Applications, Websites","Online, places like Amazon",Friends,None
Male,Below 18,4,18,"Fiction, Romance, Comics, Sci-Fi, Other","Vengeance, Love (romance), Survival, Suffering, Power and corruption, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Afternoon, Evening, Night","Daily, > 60 minutes","At home, Other","E-book, Websites","Online, places like Amazon, Book Stores",I like to browse books on my own,"Pet Sematary, Four Past Midnight"
Female,18-21,3,2,"Fiction, Mystery, Adventure, Biography, Fantasy, Comics, Sci-Fi","Rebellion, Vengeance, Survival, Coming of age, Power and corruption, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once","In a library, While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",None
Male,18-21,4,2,Mystery,Other,Enjoyment,Interesting character arcs,Plot focused,Night,"Weekly, thrice","In a library, At home",Print book,"Online, places like Amazon",Online/Social Media,Hardy Boys
Female,18-21,3,2,"Fiction, Comics, Sci-Fi","Love (romance), Survival","Recommendations from a friend, Personality Development, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,Print book,"Book Stores, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",Pride and prejudice
Female,18-21,2,0,Self Help,Love (romance),School/College Assignments,Witty or believable dialogue,Plot focused,Afternoon,I don't prefer reading,At home,"E-book, Websites","Online, places like Amazon",Friends,None
Female,Below 18,5,0,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Love (romance), Suffering, Power and corruption, Moral ambiguity",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Afternoon, Night","Daily, 30-60minutes",At home,"Print book, E-book, Websites","Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",The Way of Kings
Male,18-21,3,1,"Mystery, Romance",Love (romance),Recommendations from a friend,Interesting character arcs,Character focused,Night,"Weekly, once","In a library, At home",Print book,"Online, places like Amazon","Online/Social Media, Friends",The fault in our stars
Female,18-21,4,3,"Fiction, Mystery, Fantasy, Sci-Fi","Survival, Coming of age, Suffering","Recommendations from a friend, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Night","Weekly, thrice",At home,Print book,Book Stores,"Online/Social Media, Friends",The Da Vinci Code
Female,21-24,4,1,"Fiction, Mystery, Adventure, Fantasy, Romance","Love (romance), Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, <30 minutes",At home,"E-book, Applications","Online, places like Amazon, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, Ads on TV/Computer, I like to browse books on my own",Can love happen Twice
Female,18-21,4,0,"Mystery, Fantasy, Romance, Comics","Love (romance), Survival, Coming of age, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once","At home, In a group, Other","Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Friends, Ads on TV/Computer",None
Female,18-21,3,0,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi, Self Help","Rebellion, Love (romance), Survival, Coming of age, Moral ambiguity","School/College Assignments, Recommendations from a friend, Personality Development","Witty or believable dialogue, Interesting character arcs",Plot focused,Evening,"Weekly, once","While commuting, At home","Print book, E-book, Applications, Websites",Book Orders/Book Fairs from school,"Online/Social Media, Friends",Shiva triology by amish tripathi
Male,18-21,1,0,"Adventure, Comics","Rebellion, Power and corruption",School/College Assignments,"Witty or believable dialogue, Interesting character arcs",Plot focused,Morning,I don't prefer reading,In a library,Print book,"Book Stores, Other",Other,None
Male,Above 25,4,3,Other,Other,"Recommendations from a friend, Personality Development, Relaxation",Other,Character focused,Evening,"Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",Online/Social Media,Emotional intelligence
Female,18-21,3,2,"Fiction, Self Help","Vengeance, Survival","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Evening, Night","Weekly, once",At home,Print book,"Book Stores, Book Orders/Book Fairs from school",Friends,Alchemist
Female,18-21,3,5,"Mystery, Adventure, Romance","Rebellion, Love (romance), Survival, Suffering","School/College Assignments, Recommendations from a friend, Relaxation",In-depth lore that you can escape into outside the confines of a book,Plot focused,"Afternoon, Night","Weekly, once",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Orders/Book Fairs from school","Online/Social Media, Friends",-
Female,18-21,5,3,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Rebellion, Coming of age, Suffering, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Weekly, once",At home,"Print book, Magazines, Newspaper, Applications, Others","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Friends, Ads on TV/Computer, I like to browse books on my own",The girl you left behind- jojo moyes
Female,18-21,3,0,"Fiction, Adventure, Romance, Self Help","Love (romance), Coming of age","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Night","Weekly, thrice","In a library, At home","Print book, Magazines","Online, places like Amazon, Book Stores",Friends,Looking for Alaska
Female,21-24,5,30,"Fiction, Mystery","Love (romance), Survival, Coming of age","Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Evening, Night","Weekly, thrice",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",Anxious people
Female,21-24,5,30,"Fiction, Mystery","Love (romance), Survival, Coming of age","Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Evening, Night","Weekly, thrice",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",Anxious people
Male,18-21,5,0,"Fiction, Mystery, Adventure, Fantasy, Comics, Sci-Fi","Vengeance, Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity, Other","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,Night,"Daily, 30-60minutes",At home,"E-book, Newspaper, Applications, Websites","Online, places like Amazon, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",Complete Works of Sherlock Holmes by SIr Arthur Conan Doyle
Female,Below 18,5,35,"Fiction, Mystery, Romance","Coming of age, Suffering",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Character focused,Night,"Daily, > 60 minutes",At home,E-book,"Online, places like Amazon",Online/Social Media,the book thief
Male,18-21,3,0,"Fiction, Mystery, Adventure, Fantasy, Comics, Sci-Fi","Love (romance), Survival, Coming of age","Personality Development, Enjoyment","Interesting character arcs, Complicated or multi-step plot",Character focused,Afternoon,I don't prefer reading,"At home, In a group","Magazines, Newspaper","Book Stores, Book Orders/Book Fairs from school",Friends,Dream with your eyes open
